id_origine,name,accuracy,remaining geometry
9,Petite boucle dans les Terres Froides au depart de Saint-Didier-de-la-Tour - 10126 - UtagawaVTT.com,0.0,[('SRID=4326;LINESTRING EMPTY',)]
10,Les Chaberts - Les Quatre Seigneurs - 10375 - UtagawaVTT.com,0.0007307577197872794,[('SRID=4326;LINESTRING(5.755392269872696 45.12748790018706,5.755202004574135 45.12728535970795)',)]
14,Collines d Oyeu et de Chabons - 1100 - UtagawaVTT.com,0.01699229347920791,[('SRID=4326;MULTILINESTRING((5.473428385790243 45.41339760092946,5.473842164508795 45.41247455609576),(5.435662072976155 45.44379166069256,5.435717 45.443783,5.436099 45.442394,5.438528 45.441917,5.439062405754147 45.44159629933062))',)]
50,Descente du Luitel vers Le Peage de Vizille - 10381 - UtagawaVTT.com,0.05144298501164726,[('SRID=4326;LINESTRING(5.794666633820469 45.066581851600354,5.79413 45.066332,5.793487 45.066217,5.793307 45.065367,5.792442 45.065754,5.791802 45.065684,5.791402 45.065382,5.790904 45.065532,5.790746 45.065042,5.79120345574898 45.0643144694146)',)]
86,St Germain - Neuville - Fontaines - Mont Thou - 11095 - UtagawaVTT.com,0.0,[('SRID=4326;LINESTRING EMPTY',)]
906,Boucle de Marcy a Lozanne via les bords de l Azergues - 34450 - UtagawaVTT.com,0.0,[('SRID=4326;LINESTRING EMPTY',)]
1161,Apprieu : La Quinquin 2013 - 22 km - 7372 - UtagawaVTT.com,0.01955379468624395,[('SRID=4326;LINESTRING(5.515643216821623 45.38527522287645,5.515901316 45.3861205,5.515981866 45.386345722,5.516069876 45.38679298,5.516212033 45.387255577,5.516369529 45.387692945,5.516427197 45.387797803,5.516466005 45.387811381,5.516605312 45.387779027,5.516697178 45.387745751,5.517094731 45.387658328,5.517348703 45.387646006,5.517712142 45.38757937,5.518092932 45.387540897,5.518467519 45.387478787,5.518577246014997 45.38745020863765)',)]
1254,Collines de Simandres - 9650 - UtagawaVTT.com,0.0,[('SRID=4326;LINESTRING EMPTY',)]
1292,Rando Trans Mont d Or 2015 - 30 km - 10602 - UtagawaVTT.com,0.0,[('SRID=4326;LINESTRING EMPTY',)]
1311,Brignais - La Henri Anglade 2004 - 38 km - 109 - UtagawaVTT.com,0.012554000251664962,[('SRID=4326;MULTILINESTRING((4.720614288275367 45.701592370510355,4.7206235 45.7017946,4.7205806 45.7022667,4.720546836908595 45.70269882351748),(4.738814729305116 45.689190419857695,4.7389054 45.6891346,4.7401714 45.6883192,4.7403431 45.6882119,4.7413731 45.6876755,4.742403 45.6873536,4.742425356622714 45.68734803036408))',)]
